ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
91746,30485,1515,387,49,2207,35,43,118,26131,178083,114,57226,106450,La Puente,CA
91748,45406,4404,599,41,27006,56,24,697,12579,230495,395,149428,67219,Rowland Heights,CA
91750,33249,18377,1158,118,2433,56,59,761,10287,161517,523,102190,27800,La Verne,CA
91752,30047,8385,1670,87,2036,70,47,564,17188,16734,148,8526,6429,Mira Loma,CA
91754,32742,1659,118,39,20418,8,32,438,10030,127312,439,105600,15398,Monterey Park,CA
91755,27496,1337,76,12,19537,11,19,326,6178,54502,129,53424,505,Monterey Park,CA
91759,476,406,1,7,12,0,1,3,46,3031,24,708,2257,Mt Baldy,CA
91761,56913,10913,3805,118,3519,151,137,799,37471,74924,329,24563,43332,Ontario,CA
91762,55857,10770,2416,123,2443,148,161,663,39133,34573,287,16988,14019,Ontario,CA
91763,36375,5260,1696,88,3289,60,63,435,25484,20592,210,15892,2502,Montclair,CA
91764,54086,8630,3439,130,2295,151,111,641,38689,17982,214,1739,4306,Ontario,CA
91765,46457,10180,1979,61,23858,70,71,1105,9133,270261,707,178507,74208,Diamond Bar,CA
91766,71599,6639,3453,140,7231,111,133,777,53115,25592,200,10153,8284,Pomona,CA
91767,48068,7630,4334,127,3209,69,98,791,31810,64689,699,50036,4431,Pomona,CA
91768,34537,5034,2362,55,2066,66,51,522,24381,18630,163,14378,3247,Pomona,CA
