ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
10989,9293,6687,475,14,935,0,14,173,995,20760,235,17034,2871,Valley Cottage,NY
10990,20631,16892,1141,42,268,0,55,317,1916,87646,469,21540,22727,Warwick,NY
10992,9621,7102,582,8,227,0,17,139,1546,12293,117,10074,757,Washingtonville,NY
10993,4769,1648,767,7,235,0,6,95,2011,158,7,157,0,West Haverstraw,NY
10994,7085,5477,167,2,745,4,9,91,590,38644,118,27058,7705,West Nyack,NY
10996,6756,5059,418,26,307,9,14,265,658,7404,28,5884,520,West Point,NY
10998,3122,2649,77,4,44,0,10,51,287,3347,41,27,635,Westtown,NY
11001,26883,17678,1537,52,3897,6,182,502,3029,57154,400,39503,3490,Floral Park,NY
11003,41356,8757,18077,127,4431,8,506,891,8559,35141,308,16042,17702,Elmont,NY
11004,14016,6008,822,38,5088,2,146,453,1459,7876,99,6008,808,Glen Oaks,NY
11005,1806,1723,30,0,21,0,0,8,24,22284,130,21203,0,Floral Park,NY
11010,23821,19192,284,26,1368,3,54,210,2684,8945,219,4326,1192,Franklin Square,NY
11020,5914,3081,517,6,1712,0,25,77,496,118005,215,84059,25859,Great Neck,NY
11021,17729,13256,332,8,2663,1,48,304,1117,406961,799,269685,105286,Great Neck,NY
11023,9027,7633,91,2,680,0,17,230,374,136004,248,89660,35715,Great Neck,NY
11024,8002,6441,129,1,389,0,14,326,702,418961,344,263886,114310,Great Neck,NY
11030,17962,14485,225,4,2221,0,26,257,744,774338,984,369174,303185,Manhasset,NY
11040,40782,22504,550,78,13053,4,171,794,3628,85126,538,63781,11380,New Hyde Park,NY
11042,520,402,75,1,12,0,1,9,20,207603,89,55100,45000,New Hyde Park,NY
11050,30171,21635,517,24,3122,2,67,398,4406,766343,1301,526731,178315,Port Washington,NY
11096,8344,2142,2137,9,206,0,72,96,3682,11580,43,720,10800,Inwood,NY
11101,25484,7171,4711,55,4046,13,208,492,8788,192478,1532,121200,16183,Long Island City,NY
11102,34133,14596,2903,71,5178,20,318,701,10346,58296,711,52298,2781,Astoria,NY
11103,38780,21747,596,62,5473,14,514,792,9582,109900,910,97792,7280,Astoria,NY
11104,27232,10940,414,56,7050,9,158,594,8011,198722,774,89703,4470,Sunnyside,NY
11105,36688,23674,659,39,4065,19,264,758,7210,98928,1099,77631,15085,Astoria,NY
11106,38875,15840,2959,79,7393,15,483,916,11190,62766,937,48825,9463,Astoria,NY
11109,3523,2137,146,3,763,4,34,116,320,69326,352,44594,2150,Long Island City,NY
11201,51128,30960,7131,85,4965,20,188,1414,6365,2339203,6350,1730458,165659,Brooklyn,NY
11203,76174,2008,67236,180,938,25,326,1203,4258,79497,276,20568,100,Brooklyn,NY
11204,78134,48281,428,41,20485,24,132,746,7997,168239,258,59963,59821,Brooklyn,NY
11205,40366,15689,12811,77,2028,33,156,1007,8565,203845,1373,132085,11465,Brooklyn,NY
11206,81677,21250,19571,164,4422,20,179,953,35118,76263,1216,67074,6612,Brooklyn,NY
11207,93386,1567,56381,268,1004,44,556,1243,32323,36746,344,26902,4545,Brooklyn,NY
11208,94469,1973,39761,453,7772,48,2069,1748,40645,25412,172,19887,2475,Brooklyn,NY
11209,68853,47714,1173,74,7889,19,243,1419,10322,185707,1589,101661,60970,Brooklyn,NY
11210,62008,19294,34281,118,2154,18,268,946,4929,162190,637,84045,64312,Brooklyn,NY
11211,90117,58603,3050,104,3408,34,318,1086,23514,419993,3652,342868,47933,Brooklyn,NY
11212,84500,666,67801,232,588,31,243,1034,13905,8833,115,7403,0,Brooklyn,NY
